TVG-ID,TVG-EPGID,TVG-EPGURL,type,language
8359,Nick Music (NICM),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8396,AMC+,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8400,MoviePlex East (MPLEX),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8506,A Wealth of Entertainment HDTV (AWEHD),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8543,WeatherNation HDTV (WTHRN),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8681,Baby TV (Dish) (BABYT),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8841,Showtime FamilyZone (East) (SHOFe),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8876,Recipe.TV HDTV (RCPHD),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
8895,BET Jams (BETJ),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
9045,MGM+ Marquee HDTV (East) (MGM+MRQ),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
9101,RetroPlex HDTV (RETROHD),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
146985,Monumental Sports Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
166652,3ABN,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
166678,3ABN Kids Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
167443,3ABN Dare to Dream Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
167451,3ABN Proclaim Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
167481,3ABN International Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
167483,3ABN Latino Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
170666,3ABN Praise Him Music,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
179537,EWTN Espanol,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
313786,Scripps News Channel,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
334243,Pets TV,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
335478,Court TV US,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
335485,Cheddar News,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
350612,i24 News,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
394758,ATN Movies,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
397834,Chicago Sports Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
399929,ION Plus TV,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
399930,ABC NEWS,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
401806,CDINA Cinema Dinamita,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
401811,EARTHX EarthxTV,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403434,DirecTV MLS Direct Kick (473),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403435,Telemundo  - Eastern Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403437,World Harvest Television,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403438,Nickelodeon USA - Pacific Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403442,DirecTV MLS Direct Kick (476),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403443,NHL Network USA,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403444,The Word Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403446,HSN  - Home Shopping Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403447,SNY: SportsNet New York (Comcast),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403456,So Yummy,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403459,DirecTV Sports 718,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403461,Cartoon Network USA - Eastern Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403462,Hope Channel,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403464,Free Speech Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403465,TMC (US) - Pacific Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403472,Hallmark Mystery Eastern - HD,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403473,NBC Sports Bay Area/California Plus,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403476,ViendoMovies,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403479,MSG Plus - Syracuse,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403483,Universal Kids,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403484,DirecTV MLB Extra Innings (735),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403486,ESPN U,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403488,Discovery en Espanol,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403499,Cartoon Network USA - Pacific Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403500,RFD-TV,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403503,DirecTV MLB Extra Innings (721),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403504,Discovery Life Channel,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403509,Food Network USA - Eastern Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403512,Lifetime Network US - Eastern Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403513,Discovery Familia,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403515,DirecTV MLB Extra Innings (738),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403518,FXX USA - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403520,Showtime Next HD - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403521,TMC Xtra HD - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403526,Mexicanal - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403527,CNBC USA,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403528,"ABC (KABC) Los Angeles, CA",https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403532,Fox Deportes,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403534,ACC Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403536,FLIX - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403541,TFC - The Filipino Channel,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403542,ESPN College Extra 6,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403544,SBS (Korean),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403547,HLN,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403548,CW (WDCW) District of Columbia,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403552,Jewish Life Television,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403556,C-SPAN 2,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403560,NBC Universo - Eastern feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403561,SALE Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403562,DirecTV MLB Extra Innings (739),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403563,National Geographic Wild,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403564,Discovery Channel (US) - Eastern Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403565,UniMás  - Network Pacific,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403570,Impact Television Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403576,Boomerang,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403578,National Geographic US - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403580,Pursuit Channel,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403581,FYI USA - Eastern,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403584,One America News Network,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403587,HBO - Pacific Feed,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403588,Playboy TV en espanol,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403590,DirecTV NHL Center Ice (772),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403593,MTV 2 - East,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403594,C-SPAN,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403596,DirecTV MLB Extra Innings (729),https://epg.pw/xmltv/epg_US.xml,EPG,unknown
403598,DirecTV NHL Center Ice (771) HD,https://epg.pw/xmltv/epg_US.xml,EPG,unknown
